Datetime,CO,DVP,NO,NO2,NOx,O3,SO2,T,RH,VVP
17/06/2020 17,0.116,275,2,4,5,92,3,23,55,0.7
17/06/2020 18,0.116,128,2,5,7,102,3,24,54,0.6
17/06/2020 19,0.116,259,2,6,7,108,3,23,55,0.8
17/06/2020 20,0.116,39,2,8,10,80,3,21,69,0.5
17/06/2020 21,0.116,76,2,11,12,57,3,19,84,0.5
17/06/2020 22,0.116,82,2,11,12,50,3,18,89,0.4
17/06/2020 23,0.116,59,2,10,11,44,3,17,92,0.5
18/06/2020 00,0.116,85,2,9,10,49,3,16,94,0.6
18/06/2020 01,0.116,84,2,9,10,49,3,17,94,0.6
18/06/2020 02,0.116,130,2,7,8,51,3,16,93,0.7
18/06/2020 03,0.116,65,2,8,9,37,3,15,95,0.6
18/06/2020 04,0.116,66,2,9,10,29,3,15,95,0.6
18/06/2020 05,0.116,95,2,7,8,35,3,15,95,0.6
18/06/2020 06,0.116,82,2,7,9,34,3,16,93,0.5
18/06/2020 07,0.116,128,2,7,9,50,3,18,81,0.7
18/06/2020 08,0.116,258,2,8,10,59,3,21,68,0.8
18/06/2020 09,0.116,249,2,6,10,71,3,22,61,1.1
18/06/2020 10,0.116,264,2,5,7,74,3,22,61,1.2
18/06/2020 11,0.116,257,2,5,7,89,3,23,58,1.3
18/06/2020 12,0.116,245,2,5,7,101,3,23,58,2.1
18/06/2020 13,0.116,245,2,5,6,108,3,24,57,2.4
18/06/2020 14,0.116,249,2,5,6,113,3,24,55,2.1
18/06/2020 15,0.116,256,2,4,6,106,3,25,51,1.8
18/06/2020 16,0.116,266,2,5,7,100,3,24,56,1.7
18/06/2020 17,0.116,263,2,5,7,100,3,25,50,1.2
18/06/2020 18,0.116,263,2,5,6,103,3,25,49,0.9
18/06/2020 19,0.116,253,2,7,9,95,3,23,60,0.8
18/06/2020 20,,,,,,,,,,
18/06/2020 21,0.116,249,2,9,10,80,3,21,65,1.3
18/06/2020 22,0.116,85,2,13,15,52,3,20,74,0.7
18/06/2020 23,0.116,84,2,12,13,49,3,19,76,0.7
19/06/2020 00,0.116,78,2,12,13,43,3,18,80,0.8
19/06/2020 01,0.116,84,2,11,12,40,3,17,84,0.6
19/06/2020 02,0.116,93,2,9,10,40,3,17,87,0.5
19/06/2020 03,0.116,66,2,12,13,35,3,16,91,0.6
19/06/2020 04,0.116,125,2,10,11,39,3,16,92,0.5
19/06/2020 05,0.116,63,2,11,12,37,3,16,93,0.8
19/06/2020 06,0.116,61,2,13,16,34,3,17,88,0.7
19/06/2020 07,0.116,131,3,13,18,41,3,18,78,0.7
19/06/2020 08,0.116,258,2,9,13,52,3,20,73,0.9
19/06/2020 09,0.116,257,3,6,11,62,3,21,72,1
19/06/2020 10,0.116,264,2,6,8,72,3,22,65,1
19/06/2020 11,0.116,258,2,7,10,86,3,23,56,1.3
19/06/2020 12,0.116,252,2,4,6,99,3,23,54,1.7
19/06/2020 13,0.116,262,2,4,5,104,3,24,51,1.1
19/06/2020 14,0.116,256,2,4,5,107,3,24,50,1.3
19/06/2020 15,0.116,276,2,4,5,107,3,25,49,1.4
19/06/2020 16,0.116,258,2,5,5,106,3,23,55,1.3
19/06/2020 17,0.116,94,2,7,8,88,3,16,94,1.1
19/06/2020 18,0.116,200,2,8,9,71,3,17,95,0.9
19/06/2020 19,0.116,85,2,5,6,88,3,21,79,1
19/06/2020 20,0.116,105,2,5,6,75,3,19,68,0.7
19/06/2020 21,0.116,61,2,7,8,64,3,18,76,0.7
19/06/2020 22,0.116,37,2,9,10,57,3,17,77,0.6
19/06/2020 23,0.116,15,2,9,10,49,3,16,82,0.8
20/06/2020 00,0.116,85,2,8,9,43,3,15,90,0.6
20/06/2020 01,0.116,84,2,6,6,44,3,15,85,0.7
20/06/2020 02,0.116,64,2,6,7,39,3,14,89,0.8
20/06/2020 03,0.116,71,2,7,8,46,3,15,86,0.9
20/06/2020 04,0.116,75,2,8,8,37,3,14,88,0.6
20/06/2020 05,0.116,82,2,6,7,40,3,14,88,0.8
20/06/2020 06,0.116,127,2,8,10,38,3,15,83,1
20/06/2020 07,0.116,133,3,9,13,38,3,17,73,1.1
20/06/2020 08,0.116,126,3,9,13,42,3,20,63,0.9
20/06/2020 09,0.116,228,2,5,7,52,3,22,53,0.6
20/06/2020 10,0.116,302,2,6,8,61,3,23,50,0.9
20/06/2020 11,0.116,261,2,4,6,73,3,24,46,1.3
20/06/2020 12,0.116,263,2,4,4,80,3,24,44,1.4
20/06/2020 13,0.116,259,2,4,5,100,3,25,43,1.4
20/06/2020 14,0.116,259,2,4,5,111,3,26,43,2.2
20/06/2020 15,0.116,262,2,4,5,109,3,26,40,1.4
20/06/2020 16,0.116,254,2,4,5,111,3,26,39,1.3
20/06/2020 17,0.116,244,2,4,4,113,3,26,38,1.6
20/06/2020 18,0.116,258,2,4,6,108,3,26,37,1.2
20/06/2020 19,0.116,278,2,10,11,101,3,25,42,0.9
20/06/2020 20,0.116,89,2,15,16,81,3,23,50,0.4
20/06/2020 21,0.116,81,2,29,31,51,3,20,66,0.6
20/06/2020 22,0.116,84,2,17,18,60,3,20,64,0.6
20/06/2020 23,0.116,126,2,12,13,65,3,19,63,1.1
21/06/2020 00,0.116,105,2,15,16,58,3,19,68,0.8
21/06/2020 01,0.116,119,2,14,15,52,3,18,71,0.7
21/06/2020 02,0.116,79,2,10,11,56,3,18,69,0.8
21/06/2020 03,0.116,91,3,10,10,51,3,18,70,0.9
21/06/2020 04,0.116,51,2,7,8,52,3,18,68,0.7
21/06/2020 05,0.116,85,2,10,12,42,3,17,74,0.8
21/06/2020 06,0.116,60,2,9,10,42,3,17,73,0.6
21/06/2020 07,0.116,57,2,8,10,43,3,18,70,0.6
21/06/2020 08,0.116,91,2,9,12,46,3,20,65,0.7
21/06/2020 09,0.116,314,2,4,5,71,3,24,43,0.9
21/06/2020 10,0.116,308,2,6,8,80,3,25,39,1
21/06/2020 11,0.116,267,2,4,5,87,3,26,38,1.2
21/06/2020 12,0.116,257,2,4,4,92,3,27,36,1.3
21/06/2020 13,0.116,258,2,4,4,95,3,27,35,1.7
21/06/2020 14,0.116,255,2,4,5,117,3,27,37,1.7
21/06/2020 15,0.116,243,2,4,5,125,3,28,38,1.3
21/06/2020 16,0.116,262,2,4,5,131,3,29,35,1.3
21/06/2020 17,0.116,270,2,5,6,133,3,29,35,1
21/06/2020 18,0.116,270,2,6,7,129,3,28,34,0.9
21/06/2020 19,0.116,310,2,11,12,126,3,28,35,0.6
21/06/2020 20,0.116,24,2,16,18,94,3,25,47,0.8
21/06/2020 21,0.116,82,2,29,30,63,3,22,62,0.9
21/06/2020 22,0.116,82,2,19,20,67,3,22,58,1.3
21/06/2020 23,0.116,27,2,4,4,87,3,25,35,2
22/06/2020 00,0.116,47,2,4,4,88,3,24,34,2
22/06/2020 01,0.116,59,2,4,4,88,3,24,33,1.9
22/06/2020 02,0.116,64,2,4,4,90,3,24,33,2
22/06/2020 03,0.116,48,3,4,4,87,3,23,34,1.9
22/06/2020 04,0.116,95,2,6,7,76,3,21,40,0.9
22/06/2020 05,0.116,92,2,9,10,65,3,19,51,0.9
22/06/2020 06,0.116,61,2,12,14,58,3,19,54,1.1
22/06/2020 07,0.116,38,2,9,12,71,3,24,43,1.5
22/06/2020 08,0.116,334,4,9,15,78,3,26,33,1.2
22/06/2020 09,0.116,14,2,4,5,85,3,27,30,2.3
22/06/2020 10,0.116,12,2,5,7,86,3,29,29,1.9
22/06/2020 11,0.116,235,2,5,7,89,3,29,32,1.7
22/06/2020 12,0.116,259,2,5,7,98,3,28,35,1.9
22/06/2020 13,0.116,269,2,5,6,104,3,30,30,1.5
22/06/2020 14,0.116,256,2,7,8,116,3,29,33,1.7
22/06/2020 15,0.116,242,2,6,7,125,3,30,30,1.6
22/06/2020 16,0.116,267,2,7,8,127,3,30,29,1.4
22/06/2020 17,0.116,287,2,10,11,127,3,30,31,0.9
22/06/2020 18,0.116,292,2,10,12,128,3,29,31,1
22/06/2020 19,0.116,328,2,11,12,115,3,29,34,0.6
22/06/2020 20,0.116,52,2,23,24,81,3,25,48,0.7
22/06/2020 21,0.116,104,2,25,26,68,3,23,57,0.8
22/06/2020 22,0.116,65,2,18,19,60,3,22,54,0.9
22/06/2020 23,0.116,104,2,5,7,68,3,25,40,1.4
23/06/2020 00,0.116,119,2,4,4,74,3,26,33,1.2
23/06/2020 01,0.116,63,2,8,9,63,3,23,38,0.9
23/06/2020 02,0.116,81,2,8,9,57,3,21,46,0.6
23/06/2020 03,0.116,60,2,4,5,55,3,20,52,0.8
23/06/2020 04,0.116,29,2,4,5,61,3,21,48,0.9
23/06/2020 05,0.116,55,2,4,5,57,3,21,49,0.5
23/06/2020 06,0.116,25,2,8,10,52,3,21,49,0.9
23/06/2020 07,0.116,37,3,9,13,51,3,24,44,0.7
23/06/2020 08,0.116,108,2,9,12,58,3,25,39,1.4
23/06/2020 09,0.116,124,2,9,12,64,3,27,37,1.5
23/06/2020 10,0.116,128,2,6,8,75,3,27,33,1.9
23/06/2020 11,0.116,132,2,5,6,85,3,29,30,1.6
23/06/2020 12,0.116,263,2,5,6,103,3,29,31,1.6
23/06/2020 13,0.116,254,2,5,6,132,3,29,34,1.7
23/06/2020 14,0.116,261,2,5,7,141,3,30,32,1.3
23/06/2020 15,0.116,275,2,4,6,117,3,31,27,1.1
23/06/2020 16,0.116,259,2,6,7,142,3,31,29,1.1
23/06/2020 17,0.116,268,2,6,7,151,3,31,29,1
23/06/2020 18,0.116,227,2,6,7,153,3,30,30,0.7
23/06/2020 19,0.116,161,2,8,9,144,3,29,36,0.6
23/06/2020 20,0.116,137,2,14,15,103,3,26,51,0.6
23/06/2020 21,0.116,131,2,12,13,109,3,24,54,1.2
23/06/2020 22,0.116,107,2,11,12,116,3,24,52,1.2
23/06/2020 23,0.116,103,2,12,13,109,3,23,55,2.3
24/06/2020 00,0.116,76,2,11,12,100,3,22,57,0.9
24/06/2020 01,0.116,101,2,12,14,93,3,21,62,0.9
24/06/2020 02,0.116,126,2,10,11,95,3,22,60,1.4
