ISTANTE,Anno,Mese,Giorno,Data,VM
202008230000,2020,08,23,2020/08/23,52.0
202008240000,2020,08,24,2020/08/24,8.6
202008250000,2020,08,25,2020/08/25,8.0
202008260000,2020,08,26,2020/08/26,0.0
202008270000,2020,08,27,2020/08/27,0.0
202008280000,2020,08,28,2020/08/28,33.4
202008290000,2020,08,29,2020/08/29,39.4
202008300000,2020,08,30,2020/08/30,15.6
202008310000,2020,08,31,2020/08/31,20.0
202009010000,2020,09,01,2020/09/01,0.0
202009020000,2020,09,02,2020/09/02,3.2
202009030000,2020,09,03,2020/09/03,0.0
202009040000,2020,09,04,2020/09/04,0.0
202009050000,2020,09,05,2020/09/05,0.0
202009060000,2020,09,06,2020/09/06,0.0
202009070000,2020,09,07,2020/09/07,12.0
202009080000,2020,09,08,2020/09/08,0.0
202009090000,2020,09,09,2020/09/09,0.0
202009100000,2020,09,10,2020/09/10,0.0
202009110000,2020,09,11,2020/09/11,0.0
202009120000,2020,09,12,2020/09/12,0.0
202009130000,2020,09,13,2020/09/13,0.0
202009140000,2020,09,14,2020/09/14,0.0
202009150000,2020,09,15,2020/09/15,0.0
202009160000,2020,09,16,2020/09/16,0.0
202009170000,2020,09,17,2020/09/17,0.0
202009180000,2020,09,18,2020/09/18,0.0
202009190000,2020,09,19,2020/09/19,0.0
202009200000,2020,09,20,2020/09/20,0.0
202009210000,2020,09,21,2020/09/21,0.8
202009220000,2020,09,22,2020/09/22,17.8
202009230000,2020,09,23,2020/09/23,2.4
202009240000,2020,09,24,2020/09/24,6.6
202009250000,2020,09,25,2020/09/25,0.8
202009260000,2020,09,26,2020/09/26,0.0
202009270000,2020,09,27,2020/09/27,0.0
202009280000,2020,09,28,2020/09/28,0.0
202009290000,2020,09,29,2020/09/29,0.0
202009300000,2020,09,30,2020/09/30,0.0
202010010000,2020,10,01,2020/10/01,0.0
202010020000,2020,10,02,2020/10/02,12.4
202010030000,2020,10,03,2020/10/03,5.8
202010040000,2020,10,04,2020/10/04,4.2
202010050000,2020,10,05,2020/10/05,0.2
202010060000,2020,10,06,2020/10/06,0.0
202010070000,2020,10,07,2020/10/07,0.0
202010080000,2020,10,08,2020/10/08,0.0
202010090000,2020,10,09,2020/10/09,0.0
202010100000,2020,10,10,2020/10/10,2.4
202010110000,2020,10,11,2020/10/11,29.6
202010120000,2020,10,12,2020/10/12,0.0
202010130000,2020,10,13,2020/10/13,0.0
202010140000,2020,10,14,2020/10/14,0.0
202010150000,2020,10,15,2020/10/15,17.4
202010160000,2020,10,16,2020/10/16,0.8
202010170000,2020,10,17,2020/10/17,0.0
202010180000,2020,10,18,2020/10/18,0.0
202010190000,2020,10,19,2020/10/19,0.0
202010200000,2020,10,20,2020/10/20,0.0
202010210000,2020,10,21,2020/10/21,0.0
202010220000,2020,10,22,2020/10/22,0.2
202010230000,2020,10,23,2020/10/23,8.4
202010240000,2020,10,24,2020/10/24,1.8
202010250000,2020,10,25,2020/10/25,0.2
202010260000,2020,10,26,2020/10/26,25.6
202010270000,2020,10,27,2020/10/27,4.2
202010280000,2020,10,28,2020/10/28,0.0
202010290000,2020,10,29,2020/10/29,0.0
202010300000,2020,10,30,2020/10/30,0.0
202010310000,2020,10,31,2020/10/31,0.0
202011010000,2020,11,01,2020/11/01,0.2
202011020000,2020,11,02,2020/11/02,0.0
202011030000,2020,11,03,2020/11/03,0.0
202011040000,2020,11,04,2020/11/04,0.0
202011050000,2020,11,05,2020/11/05,0.0
202011060000,2020,11,06,2020/11/06,0.0
202011070000,2020,11,07,2020/11/07,0.0
202011080000,2020,11,08,2020/11/08,0.0
202011090000,2020,11,09,2020/11/09,0.0
202011100000,2020,11,10,2020/11/10,0.0
202011110000,2020,11,11,2020/11/11,0.0
202011120000,2020,11,12,2020/11/12,0.0
202011130000,2020,11,13,2020/11/13,0.0
202011140000,2020,11,14,2020/11/14,0.0
202011150000,2020,11,15,2020/11/15,0.0
202011160000,2020,11,16,2020/11/16,8.2
202011170000,2020,11,17,2020/11/17,0.0
202011180000,2020,11,18,2020/11/18,0.0
202011190000,2020,11,19,2020/11/19,0.0
202011200000,2020,11,20,2020/11/20,0.2
202011210000,2020,11,21,2020/11/21,0.0
202011220000,2020,11,22,2020/11/22,0.0
202011230000,2020,11,23,2020/11/23,0.0
202011240000,2020,11,24,2020/11/24,0.0
202011250000,2020,11,25,2020/11/25,0.0
202011260000,2020,11,26,2020/11/26,0.0
202011270000,2020,11,27,2020/11/27,0.0
202011280000,2020,11,28,2020/11/28,0.0
202011290000,2020,11,29,2020/11/29,0.0
202011300000,2020,11,30,2020/11/30,0.0
